"disease","chiefdom","PHU","pop","epiweek","fyo","cas","dth"
" Malaria cases","Kholifa Rowalla","MCHP Mayossoh","9999","2015-43","o","14",""
" Malaria cases","Kholifa Rowalla","MCHP Mayossoh","9999","2015-43","u","32",""
" Malaria cases","Kholifa Rowalla","CHP Mabom","9999","2015-43","o","61",""
" Malaria cases","Kholifa Rowalla","CHP Mabom","9999","2015-43","u","55",""
" Malaria cases","Kafe Simira","CHC Mabontor","9999","2015-43","o","",""
" Malaria cases","Kafe Simira","CHC Mabontor","9999","2015-43","u","32",""
" Malaria cases","Kalansogoia","CHC Bumbuna","9999","2015-43","o","11",""
" Malaria cases","Kalansogoia","CHC Bumbuna","9999","2015-43","u","12","1"
" Malaria cases","Kalansogoia","MCHP Bassaia","9999","2015-43","o","6",""
" Malaria cases","Kalansogoia","MCHP Bassaia","9999","2015-43","u","14",""
" Malaria cases","Sambaya Bendugu","MCHP Kholifaga","9999","2015-43","o","4",""
" Malaria cases","Sambaya Bendugu","MCHP Kholifaga","9999","2015-43","u","46",""
" Malaria cases","Tane","CHC Matotoka","9999","2015-43","o","2",""
" Malaria cases","Tane","CHC Matotoka","9999","2015-43","u","33",""
" Malaria cases","Tane","MCHP Mathonkara","9999","2015-43","o","9",""
" Malaria cases","Tane","MCHP Mathonkara","9999","2015-43","u","27",""
" Malaria cases","Kunike Barina","CHC Makali","9999","2015-43","o","17",""
" Malaria cases","Kunike Barina","CHC Makali","9999","2015-43","u","63",""
" Malaria cases","Kunike Barina","MCHP Wonkibor","9999","2015-43","o","10",""
" Malaria cases","Kunike Barina","MCHP Wonkibor","9999","2015-43","u","14",""
" Malaria cases","Kunike ","CHC Masingbi","9999","2015-43","o","16",""
" Malaria cases","Kunike ","CHC Masingbi","9999","2015-43","u","32",""
" Malaria cases","Kunike ","CHP Mamansosanka","9999","2015-43","o","16",""
" Malaria cases","Kunike ","CHP Mamansosanka","9999","2015-43","u","24","1"
" Malaria cases","Kunike ","MCHP Petifuline","9999","2015-43","o","2",""
" Malaria cases","Kunike ","MCHP Petifuline","9999","2015-43","u","9",""
" Malaria cases","Gbonkolenken","Lion Heart Hospital","9999","2015-43","o","45",""
" Malaria cases","Gbonkolenken","Lion Heart Hospital","9999","2015-43","u","15","1"
" Malaria cases","Gbonkolenken","CHC Yele","9999","2015-43","o","18",""
" Malaria cases","Gbonkolenken","CHC Yele","9999","2015-43","u","48",""
" Malaria cases","Gbonkolenken","CHC Mayepoh","9999","2015-43","o","5",""
" Malaria cases","Gbonkolenken","CHC Mayepoh","9999","2015-43","u","10",""
" Malaria cases","Gbonkolenken","MCHP Yeben","9999","2015-43","o","23",""
" Malaria cases","Gbonkolenken","MCHP Yeben","9999","2015-43","u","57",""
" Malaria cases","Gbonkolenken","MCHP Maraka","9999","2015-43","o","30",""
" Malaria cases","Gbonkolenken","MCHP Maraka","9999","2015-43","u","35",""
" Malaria cases","Gbonkolenken","MCHP Mafay","9999","2015-43","o","5",""
" Malaria cases","Gbonkolenken","MCHP Mafay","9999","2015-43","u","15",""
" Malaria cases","Gbonkolenken","MCHP Warrima","9999","2015-43","o","10",""
" Malaria cases","Gbonkolenken","MCHP Warrima","9999","2015-43","u","17",""
" Malaria cases","Malal Mara","MCHP Kiampkakolo","9999","2015-43","o","11",""
" Malaria cases","Malal Mara","MCHP Kiampkakolo","9999","2015-43","u","28",""
" Malaria cases","Yoni","CHC  Mathoir","9999","2015-43","o","6",""
" Malaria cases","Yoni","CHC  Mathoir","9999","2015-43","u","13",""
" Malaria cases","Yoni","MCHP Makelleh","9999","2015-43","o","20",""
" Malaria cases","Yoni","MCHP Makelleh","9999","2015-43","u","30",""
"Malaria tested","Kholifa Rowalla","MCHP UFC Magburaka","9999","2015-43","o","",""
"Malaria tested","Kholifa Rowalla","MCHP UFC Magburaka","9999","2015-43","u","147",""
"Malaria tested","Kholifa Rowalla","MCHP Mayossoh","9999","2015-43","o","14",""
"Malaria tested","Kholifa Rowalla","MCHP Mayossoh","9999","2015-43","u","32",""
"Malaria tested","Kholifa Rowalla","CHP Mabom","9999","2015-43","o","61",""
"Malaria tested","Kholifa Rowalla","CHP Mabom","9999","2015-43","u","55",""
"Malaria tested","Kholifa Rowalla","MCHP Magbass","9999","2015-43","o","10",""
"Malaria tested","Kholifa Rowalla","MCHP Magbass","9999","2015-43","u","25",""
"Malaria tested","Kafe Simira","CHC Mabontor","9999","2015-43","o","",""
"Malaria tested","Kafe Simira","CHC Mabontor","9999","2015-43","u","32",""
"Malaria tested","Kalansogoia","CHC Bumbuna","9999","2015-43","o","11",""
"Malaria tested","Kalansogoia","CHC Bumbuna","9999","2015-43","u","12","1"
"Malaria tested","Kalansogoia","MCHP Bassaia","9999","2015-43","o","6",""
"Malaria tested","Kalansogoia","MCHP Bassaia","9999","2015-43","u","14",""
"Malaria tested","Sambaya Bendugu","MCHP Kholifaga","9999","2015-43","o","4",""
"Malaria tested","Sambaya Bendugu","MCHP Kholifaga","9999","2015-43","u","46",""
"Malaria tested","Tane","CHC Matotoka","9999","2015-43","o","2",""
"Malaria tested","Tane","CHC Matotoka","9999","2015-43","u","33",""
"Malaria tested","Tane","MCHP Mathonkara","9999","2015-43","o","9",""
"Malaria tested","Tane","MCHP Mathonkara","9999","2015-43","u","27",""
"Malaria tested","Kunike Barina","CHC Makali","9999","2015-43","o","17",""
"Malaria tested","Kunike Barina","CHC Makali","9999","2015-43","u","63",""
"Malaria tested","Kunike Barina","MCHP Wonkibor","9999","2015-43","o","10",""
"Malaria tested","Kunike Barina","MCHP Wonkibor","9999","2015-43","u","14",""
"Malaria tested","Kunike ","CHC Masingbi","9999","2015-43","o","16",""
"Malaria tested","Kunike ","CHC Masingbi","9999","2015-43","u","32",""
"Malaria tested","Kunike ","CHP Mamansosanka","9999","2015-43","o","16",""
"Malaria tested","Kunike ","CHP Mamansosanka","9999","2015-43","u","24","1"
"Malaria tested","Kunike ","MCHP Petifuline","9999","2015-43","o","2",""
"Malaria tested","Kunike ","MCHP Petifuline","9999","2015-43","u","9",""
"Malaria tested","Gbonkolenken","Lion Heart Hospital","9999","2015-43","o","45",""
"Malaria tested","Gbonkolenken","Lion Heart Hospital","9999","2015-43","u","15","1"
"Malaria tested","Gbonkolenken","CHC Yele","9999","2015-43","o","11",""
"Malaria tested","Gbonkolenken","CHC Yele","9999","2015-43","u","27",""
"Malaria tested","Gbonkolenken","CHC Mayepoh","9999","2015-43","o","5",""
"Malaria tested","Gbonkolenken","CHC Mayepoh","9999","2015-43","u","10",""
"Malaria tested","Gbonkolenken","MCHP Yeben","9999","2015-43","o","23",""
"Malaria tested","Gbonkolenken","MCHP Yeben","9999","2015-43","u","57",""
"Malaria tested","Gbonkolenken","MCHP Maraka","9999","2015-43","o","30",""
"Malaria tested","Gbonkolenken","MCHP Maraka","9999","2015-43","u","35",""
"Malaria tested","Gbonkolenken","MCHP Mafay","9999","2015-43","o","5",""
"Malaria tested","Gbonkolenken","MCHP Mafay","9999","2015-43","u","15",""
"Malaria tested","Gbonkolenken","MCHP Warrima","9999","2015-43","o","10",""
"Malaria tested","Gbonkolenken","MCHP Warrima","9999","2015-43","u","17",""
"Malaria tested","Malal Mara","MCHP Kiampkakolo","9999","2015-43","o","11",""
"Malaria tested","Malal Mara","MCHP Kiampkakolo","9999","2015-43","u","28",""
"Malaria tested","Yoni","CHC  Mathoir","9999","2015-43","o","6",""
"Malaria tested","Yoni","CHC  Mathoir","9999","2015-43","u","13",""
"Malaria tested","Yoni","MCHP Makelleh","9999","2015-43","o","20",""
"Malaria tested","Yoni","MCHP Makelleh","9999","2015-43","u","30",""
"Malaria Positive","Kholifa Rowalla","MCHP UFC Magburaka","9999","2015-43","o","",""
"Malaria Positive","Kholifa Rowalla","MCHP UFC Magburaka","9999","2015-43","u","48",""
"Malaria Positive","Kholifa Rowalla","MCHP Mayossoh","9999","2015-43","o","14",""
"Malaria Positive","Kholifa Rowalla","MCHP Mayossoh","9999","2015-43","u","32",""
"Malaria Positive","Kholifa Rowalla","CHP Mabom","9999","2015-43","o","36",""
"Malaria Positive","Kholifa Rowalla","CHP Mabom","9999","2015-43","u","18",""
"Malaria Positive","Kholifa Rowalla","MCHP Magbass","9999","2015-43","o","6",""
"Malaria Positive","Kholifa Rowalla","MCHP Magbass","9999","2015-43","u","19",""
"Malaria Positive","Kafe Simira","CHC Mabontor","9999","2015-43","o","",""
"Malaria Positive","Kafe Simira","CHC Mabontor","9999","2015-43","u","27",""
"Malaria Positive","Kalansogoia","CHC Bumbuna","9999","2015-43","o","",""
"Malaria Positive","Kalansogoia","CHC Bumbuna","9999","2015-43","u","12","1"
"Malaria Positive","Kalansogoia","MCHP Bassaia","9999","2015-43","o","2",""
"Malaria Positive","Kalansogoia","MCHP Bassaia","9999","2015-43","u","11",""
"Malaria Positive","Sambaya Bendugu","MCHP Kholifaga","9999","2015-43","o","3",""
"Malaria Positive","Sambaya Bendugu","MCHP Kholifaga","9999","2015-43","u","19",""
"Malaria Positive","Tane","CHC Matotoka","9999","2015-43","o","2",""
"Malaria Positive","Tane","CHC Matotoka","9999","2015-43","u","33",""
"Malaria Positive","Tane","MCHP Mathonkara","9999","2015-43","o","3",""
"Malaria Positive","Tane","MCHP Mathonkara","9999","2015-43","u","14",""
"Malaria Positive","Kunike Barina","CHC Makali","9999","2015-43","o","12",""
"Malaria Positive","Kunike Barina","CHC Makali","9999","2015-43","u","50",""
"Malaria Positive","Kunike Barina","MCHP Wonkibor","9999","2015-43","o","8",""
"Malaria Positive","Kunike Barina","MCHP Wonkibor","9999","2015-43","u","14",""
"Malaria Positive","Kunike ","CHC Masingbi","9999","2015-43","o","16",""
"Malaria Positive","Kunike ","CHC Masingbi","9999","2015-43","u","30",""
"Malaria Positive","Kunike ","CHP Mamansosanka","9999","2015-43","o","16",""
"Malaria Positive","Kunike ","CHP Mamansosanka","9999","2015-43","u","24","1"
"Malaria Positive","Kunike ","MCHP Petifuline","9999","2015-43","o","1",""
"Malaria Positive","Kunike ","MCHP Petifuline","9999","2015-43","u","8",""
"Malaria Positive","Gbonkolenken","Lion Heart Hospital","9999","2015-43","o","20",""
"Malaria Positive","Gbonkolenken","Lion Heart Hospital","9999","2015-43","u","15","1"
"Malaria Positive","Gbonkolenken","CHC Yele","9999","2015-43","o","11",""
"Malaria Positive","Gbonkolenken","CHC Yele","9999","2015-43","u","27",""
"Malaria Positive","Gbonkolenken","CHC Mayepoh","9999","2015-43","o","5",""
"Malaria Positive","Gbonkolenken","CHC Mayepoh","9999","2015-43","u","10",""
"Malaria Positive","Gbonkolenken","MCHP Yeben","9999","2015-43","o","2",""
"Malaria Positive","Gbonkolenken","MCHP Yeben","9999","2015-43","u","33",""
"Malaria Positive","Gbonkolenken","MCHP Maraka","9999","2015-43","o","20",""
"Malaria Positive","Gbonkolenken","MCHP Maraka","9999","2015-43","u","29",""
"Malaria Positive","Gbonkolenken","MCHP Mafay","9999","2015-43","o","5",""
"Malaria Positive","Gbonkolenken","MCHP Mafay","9999","2015-43","u","14",""
"Malaria Positive","Gbonkolenken","MCHP Warrima","9999","2015-43","o","10",""
"Malaria Positive","Gbonkolenken","MCHP Warrima","9999","2015-43","u","17",""
"Malaria Positive","Malal Mara","MCHP Kiampkakolo","9999","2015-43","o","5",""
"Malaria Positive","Malal Mara","MCHP Kiampkakolo","9999","2015-43","u","16",""
"Malaria Positive","Yoni","CHC  Mathoir","9999","2015-43","o","3",""
"Malaria Positive","Yoni","CHC  Mathoir","9999","2015-43","u","7","1"
"Malaria Positive","Yoni","MCHP Makelleh","9999","2015-43","o","15",""
"Malaria Positive","Yoni","MCHP Makelleh","9999","2015-43","u","20",""
"Other disease","Kholifa Rowalla","MCHP UFC Magburaka","9999","2015-43","o","",""
"Other disease","Kholifa Rowalla","MCHP UFC Magburaka","9999","2015-43","u","",""
"Other disease","Kholifa Rowalla","MCHP Mayossoh","9999","2015-43","o","",""
"Other disease","Kholifa Rowalla","MCHP Mayossoh","9999","2015-43","u","",""
"Other disease","Kholifa Rowalla","CHP Mabom","9999","2015-43","o","",""
"Other disease","Kholifa Rowalla","CHP Mabom","9999","2015-43","u","",""
"Other disease","Kholifa Rowalla","MCHP Magbass","9999","2015-43","o","",""
"Other disease","Kholifa Rowalla","MCHP Magbass","9999","2015-43","u","32",""
"Other disease","Kafe Simira","CHC Mabontor","9999","2015-43","o","",""
"Other disease","Kafe Simira","CHC Mabontor","9999","2015-43","u","",""
"Other disease","Kalansogoia","CHC Bumbuna","9999","2015-43","o","",""
"Other disease","Kalansogoia","CHC Bumbuna","9999","2015-43","u","",""
"Other disease","Sambaya Bendugu","MCHP Kholifaga","9999","2015-43","o","1",""
"Other disease","Sambaya Bendugu","MCHP Kholifaga","9999","2015-43","u","22",""
"Other disease","Tane","CHC Matotoka","9999","2015-43","o","",""
"Other disease","Tane","CHC Matotoka","9999","2015-43","u","",""
"Other disease","Tane","MCHP Mathonkara","9999","2015-43","o","",""
"Other disease","Tane","MCHP Mathonkara","9999","2015-43","u","",""
"Other disease","Kunike Barina","CHC Makali","9999","2015-43","o","",""
"Other disease","Kunike Barina","CHC Makali","9999","2015-43","u","",""
"Other disease","Kunike Barina","MCHP Wonkibor","9999","2015-43","o","",""
"Other disease","Kunike Barina","MCHP Wonkibor","9999","2015-43","u","",""
"Other disease","Kunike ","CHC Masingbi","9999","2015-43","o","",""
"Other disease","Kunike ","CHC Masingbi","9999","2015-43","u","",""
"Other disease","Kunike ","CHP Mamansosanka","9999","2015-43","o","4",""
"Other disease","Kunike ","CHP Mamansosanka","9999","2015-43","u","8","1"
"Other disease","Kunike ","MCHP Petifuline","9999","2015-43","o","",""
"Other disease","Kunike ","MCHP Petifuline","9999","2015-43","u","",""
"Other disease","Gbonkolenken","CHC Yele","9999","2015-43","o","",""
"Other disease","Gbonkolenken","CHC Yele","9999","2015-43","u","",""
"Other disease","Gbonkolenken","MCHP Yeben","9999","2015-43","o","",""
"Other disease","Gbonkolenken","MCHP Yeben","9999","2015-43","u","",""
"Other disease","Gbonkolenken","MCHP Maraka","9999","2015-43","o","",""
"Other disease","Gbonkolenken","MCHP Maraka","9999","2015-43","u","",""
"Other disease","Gbonkolenken","MCHP Mafay","9999","2015-43","o","",""
"Other disease","Gbonkolenken","MCHP Mafay","9999","2015-43","u","",""
"Other disease","Gbonkolenken","MCHP Warrima","9999","2015-43","o","",""
"Other disease","Gbonkolenken","MCHP Warrima","9999","2015-43","u","",""
"Other disease","Yoni","MCHP Makelleh","9999","2015-43","o","",""
"Other disease","Yoni","MCHP Makelleh","9999","2015-43","u","",""
"Measles","Gbonkolenken","MCHP Warrima","9999","2015-44","o","",""
"Measles","Gbonkolenken","MCHP Warrima","9999","2015-44","u","1",""
"Animal Bit","Yoni","CHP Bakeloko","9999","2015-44","o","1",""
"Animal Bit","Yoni","CHP Bakeloko","9999","2015-44","u","",""
"Animal Bit","Yoni","CHP Masengbeh","9999","2015-44","o","",""
"Animal Bit","Yoni","CHP Masengbeh","9999","2015-44","u","1",""
"Diarrhoea Severe dehydratation ","Kholifa Rowalla","Magburaka Govt. Hosp","9999","2015-44","o","",""
"Diarrhoea Severe dehydratation ","Kholifa Rowalla","Magburaka Govt. Hosp","9999","2015-44","u","2",""
"Diarrhoea Severe dehydratation ","Kholifa Rowalla","Masanga Hosp","9999","2015-44","o","6",""
"Diarrhoea Severe dehydratation ","Kholifa Rowalla","Masanga Hosp","9999","2015-44","u","5",""
"Diarrhoea Severe dehydratation ","Kholifa Rowalla","MCHP Mayossoh","9999","2015-44","o","",""
"Diarrhoea Severe dehydratation ","Kholifa Rowalla","MCHP Mayossoh","9999","2015-44","u","5",""
"Diarrhoea Severe dehydratation ","Kholifa Rowalla","CHP Mabom","9999","2015-44","o","",""
"Diarrhoea Severe dehydratation ","Kholifa Rowalla","CHP Mabom","9999","2015-44","u","9","6"
"Diarrhoea Severe dehydratation ","Kholifa Rowalla","MCHP Mamuntha","9999","2015-44","o","3",""
"Diarrhoea Severe dehydratation ","Kholifa Rowalla","MCHP Mamuntha","9999","2015-44","u","8",""
"Diarrhoea Severe dehydratation ","Kalansogoia","CHC Bumbuna","9999","2015-44","o","",""
"Diarrhoea Severe dehydratation ","Kalansogoia","CHC Bumbuna","9999","2015-44","u","1",""
"Diarrhoea Severe dehydratation ","Kalansogoia","MCHP Kemedugu","9999","2015-44","o","",""
"Diarrhoea Severe dehydratation ","Kalansogoia","MCHP Kemedugu","9999","2015-44","u","4",""
"Diarrhoea Severe dehydratation ","Tane","MCHP Mathonkara","9999","2015-44","o","1",""
"Diarrhoea Severe dehydratation ","Tane","MCHP Mathonkara","9999","2015-44","u","2",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","CHC Mayepoh","9999","2015-44","o","",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","CHC Mayepoh","9999","2015-44","u","4",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","MCHP Maraka","9999","2015-44","o","2",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","MCHP Maraka","9999","2015-44","u","4",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","MCHP Mafay","9999","2015-44","o","3",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","MCHP Mafay","9999","2015-44","u","10",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","MCHP Warrima","9999","2015-44","o","1",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","MCHP Warrima","9999","2015-44","u","4",""
"Diarrhoea Severe dehydratation ","Yoni","CHP Bakeloko","9999","2015-44","o","3",""
"Diarrhoea Severe dehydratation ","Yoni","CHP Bakeloko","9999","2015-44","u","7",""
"Severe Malnutrition","Kholifa Rowalla","MCHP Mabai","9999","2015-44","o","",""
"Severe Malnutrition","Kholifa Rowalla","MCHP Mabai","9999","2015-44","u","4",""
"Severe Malnutrition","Kalansogoia","CHC Bumbuna","9999","2015-44","o","",""
"Severe Malnutrition","Kalansogoia","CHC Bumbuna","9999","2015-44","u","4",""
"Severe Malnutrition","Sambaya Bendugu","CHC Bendugu","9999","2015-44","o","",""
"Severe Malnutrition","Sambaya Bendugu","CHC Bendugu","9999","2015-44","u","1",""
"Severe Malnutrition","Gbonkolenken","MCHP Mansumana","9999","2015-44","o","",""
"Severe Malnutrition","Gbonkolenken","MCHP Mansumana","9999","2015-44","u","2",""
"Severe Malnutrition","Gbonkolenken","MCHP Mafay","9999","2015-44","o","",""
"Severe Malnutrition","Gbonkolenken","MCHP Mafay","9999","2015-44","u","5",""
"Severe Malnutrition","Gbonkolenken","MCHP Warrima","9999","2015-44","o","",""
"Severe Malnutrition","Gbonkolenken","MCHP Warrima","9999","2015-44","u","7",""
"Severe Malnutrition","Yoni","CHP Bakeloko","9999","2015-44","o","",""
"Severe Malnutrition","Yoni","CHP Bakeloko","9999","2015-44","u","1",""
"Sever Pneumonia","Kholifa Rowalla","MCHP UFC Magburaka","9999","2015-44","o","",""
"Sever Pneumonia","Kholifa Rowalla","MCHP UFC Magburaka","9999","2015-44","u","74",""
"Sever Pneumonia","Kholifa Rowalla","CHP Mabom","9999","2015-44","o","5",""
"Sever Pneumonia","Kholifa Rowalla","CHP Mabom","9999","2015-44","u","21",""
"Sever Pneumonia","Kholifa Rowalla","MCHP Magbass","9999","2015-44","o","",""
"Sever Pneumonia","Kholifa Rowalla","MCHP Magbass","9999","2015-44","u","2",""
"Sever Pneumonia","Kholifa Rowalla","MCHP Mamuntha","9999","2015-44","o","3",""
"Sever Pneumonia","Kholifa Rowalla","MCHP Mamuntha","9999","2015-44","u","8",""
"Sever Pneumonia","Kalansogoia","CHC Bumbuna","9999","2015-44","o","",""
"Sever Pneumonia","Kalansogoia","CHC Bumbuna","9999","2015-44","u","8",""
"Sever Pneumonia","Sambaya Bendugu","MCHP Ninkikoro","9999","2015-44","o","",""
"Sever Pneumonia","Sambaya Bendugu","MCHP Ninkikoro","9999","2015-44","u","8",""
"Sever Pneumonia","Sambaya Bendugu","MCHP Kunya","9999","2015-44","o","13",""
"Sever Pneumonia","Sambaya Bendugu","MCHP Kunya","9999","2015-44","u","19",""
"Sever Pneumonia","Tane","MCHP Mangaybana","9999","2015-44","o","",""
"Sever Pneumonia","Tane","MCHP Mangaybana","9999","2015-44","u","2",""
"Sever Pneumonia","Kunike ","CHP Mamansosanka","9999","2015-44","o","1",""
"Sever Pneumonia","Kunike ","CHP Mamansosanka","9999","2015-44","u","3",""
"Sever Pneumonia","Gbonkolenken","CHC Mayepoh","9999","2015-44","o","10",""
"Sever Pneumonia","Gbonkolenken","CHC Mayepoh","9999","2015-44","u","32",""
"Sever Pneumonia","Gbonkolenken","MCHP Maraka","9999","2015-44","o","",""
"Sever Pneumonia","Gbonkolenken","MCHP Maraka","9999","2015-44","u","1",""
"Sever Pneumonia","Gbonkolenken","MCHP Mafay","9999","2015-44","o","3",""
"Sever Pneumonia","Gbonkolenken","MCHP Mafay","9999","2015-44","u","12",""
"Sever Pneumonia","Gbonkolenken","MCHP Warrima","9999","2015-44","o","5",""
"Sever Pneumonia","Gbonkolenken","MCHP Warrima","9999","2015-44","u","25",""
"Sever Pneumonia","Yoni","CHP Bakeloko","9999","2015-44","o","3",""
"Sever Pneumonia","Yoni","CHP Bakeloko","9999","2015-44","u","13",""
"Sever Pneumonia","Yoni","CHP Masengbeh","9999","2015-44","o","",""
"Sever Pneumonia","Yoni","CHP Masengbeh","9999","2015-44","u","1",""
"Typhoid Fever","Kholifa Rowalla","MCHP Magbass","9999","2015-44","o","1",""
"Typhoid Fever","Kholifa Rowalla","MCHP Magbass","9999","2015-44","u","",""
"Typhoid Fever","Kholifa Rowalla","MCHP Mamuntha","9999","2015-44","o","1","1"
"Typhoid Fever","Kholifa Rowalla","MCHP Mamuntha","9999","2015-44","u","",""
"Typhoid Fever","Kalansogoia","CHC Bumbuna","9999","2015-44","o","8",""
"Typhoid Fever","Kalansogoia","CHC Bumbuna","9999","2015-44","u","",""
"Typhoid Fever","Yoni","CHC  Mathoir","9999","2015-44","o","1",""
"Typhoid Fever","Yoni","CHC  Mathoir","9999","2015-44","u","",""
"Adverse effect imm. (AEFI)","Kafe Simira","CHC Mabontor","9999","2015-44","o","2",""
"Adverse effect imm. (AEFI)","Kafe Simira","CHC Mabontor","9999","2015-44","u","",""
" Malaria cases","Kholifa Rowalla","MCHP UFC Magburaka","9999","2015-44","o","",""
" Malaria cases","Kholifa Rowalla","MCHP UFC Magburaka","9999","2015-44","u","45",""
" Malaria cases","Kholifa Rowalla","MCHP Mabai","9999","2015-44","o","37",""
" Malaria cases","Kholifa Rowalla","MCHP Mabai","9999","2015-44","u","116",""
" Malaria cases","Kholifa Rowalla","MCHP UFC Masanga","9999","2015-44","o","6",""
" Malaria cases","Kholifa Rowalla","MCHP UFC Masanga","9999","2015-44","u","5",""
" Malaria cases","Kholifa Rowalla","MCHP Mayossoh","9999","2015-44","o","10",""
" Malaria cases","Kholifa Rowalla","MCHP Mayossoh","9999","2015-44","u","18",""
" Malaria cases","Kholifa Rowalla","CHP Mabom","9999","2015-44","o","35",""
" Malaria cases","Kholifa Rowalla","CHP Mabom","9999","2015-44","u","42",""
" Malaria cases","Kholifa Rowalla","MCHP Magbass","9999","2015-44","o","3",""
" Malaria cases","Kholifa Rowalla","MCHP Magbass","9999","2015-44","u","17",""
" Malaria cases","Kholifa Rowalla","MCHP Mamuntha","9999","2015-44","o","63",""
" Malaria cases","Kholifa Rowalla","MCHP Mamuntha","9999","2015-44","u","79",""
" Malaria cases","Kafe Simira","CHC Mabontor","9999","2015-44","o","",""
" Malaria cases","Kafe Simira","CHC Mabontor","9999","2015-44","u","15",""
" Malaria cases","Kalansogoia","CHC Bumbuna","9999","2015-44","o","6",""
" Malaria cases","Kalansogoia","CHC Bumbuna","9999","2015-44","u","7",""
" Malaria cases","Kalansogoia","MCHP Kathombo","9999","2015-44","o","",""
" Malaria cases","Kalansogoia","MCHP Kathombo","9999","2015-44","u","34",""
" Malaria cases","Kalansogoia","MCHP Kemedugu","9999","2015-44","o","2",""
" Malaria cases","Kalansogoia","MCHP Kemedugu","9999","2015-44","u","5",""
" Malaria cases","Sambaya Bendugu","CHC Bendugu","9999","2015-44","o","4",""
" Malaria cases","Sambaya Bendugu","CHC Bendugu","9999","2015-44","u","26",""
" Malaria cases","Sambaya Bendugu","MCHP Ninkikoro","9999","2015-44","o","",""
" Malaria cases","Sambaya Bendugu","MCHP Ninkikoro","9999","2015-44","u","15",""
" Malaria cases","Sambaya Bendugu","MCHP Kunya","9999","2015-44","o","20",""
" Malaria cases","Sambaya Bendugu","MCHP Kunya","9999","2015-44","u","32",""
" Malaria cases","Tane","MCHP Mathonkara","9999","2015-44","o","19",""
" Malaria cases","Tane","MCHP Mathonkara","9999","2015-44","u","37",""
" Malaria cases","Tane","MCHP Mangaybana","9999","2015-44","o","",""
" Malaria cases","Tane","MCHP Mangaybana","9999","2015-44","u","10",""
" Malaria cases","Kunike Barina","CHC Makali","9999","2015-44","o","33",""
" Malaria cases","Kunike Barina","CHC Makali","9999","2015-44","u","62",""
" Malaria cases","Kunike Barina","MCHP Massaba","9999","2015-44","o","4",""
" Malaria cases","Kunike Barina","MCHP Massaba","9999","2015-44","u","3",""
" Malaria cases","Kunike ","CHP Mamansosanka","9999","2015-44","o","10",""
